starttime	seconds	ctime	dtime	ttime	wait
Fri Jul 18 18:01:12 2025	1752850872	0	1	1	1
Fri Jul 18 18:01:11 2025	1752850871	0	1	1	1
Fri Jul 18 18:01:12 2025	1752850872	0	1	2	1
Fri Jul 18 18:01:12 2025	1752850872	0	1	2	1
Fri Jul 18 18:01:12 2025	1752850872	1	1	2	1
Fri Jul 18 18:01:12 2025	1752850872	0	1	2	1
Fri Jul 18 18:01:10 2025	1752850870	0	1	2	1
Fri Jul 18 18:01:10 2025	1752850870	0	2	2	2
Fri Jul 18 18:01:10 2025	1752850870	0	2	2	2
Fri Jul 18 18:01:12 2025	1752850872	1	1	2	1
Fri Jul 18 18:01:12 2025	1752850872	0	2	2	2
Fri Jul 18 18:01:10 2025	1752850870	0	2	2	2
Fri Jul 18 18:01:12 2025	1752850872	0	2	2	2
Fri Jul 18 18:01:10 2025	1752850870	0	2	2	2
Fri Jul 18 18:01:12 2025	1752850872	0	2	2	2
Fri Jul 18 18:01:12 2025	1752850872	0	2	2	2
Fri Jul 18 18:01:12 2025	1752850872	0	2	2	2
Fri Jul 18 18:01:11 2025	1752850871	0	2	2	2
Fri Jul 18 18:01:11 2025	1752850871	1	1	2	1
Fri Jul 18 18:01:12 2025	1752850872	1	2	2	2
Fri Jul 18 18:01:10 2025	1752850870	0	2	2	2
Fri Jul 18 18:01:10 2025	1752850870	1	1	2	1
Fri Jul 18 18:01:12 2025	1752850872	0	2	2	2
Fri Jul 18 18:01:12 2025	1752850872	1	2	2	1
Fri Jul 18 18:01:12 2025	1752850872	1	2	2	1
Fri Jul 18 18:01:12 2025	1752850872	1	1	2	1
Fri Jul 18 18:01:12 2025	1752850872	0	2	2	2
Fri Jul 18 18:01:10 2025	1752850870	0	2	2	1
Fri Jul 18 18:01:11 2025	1752850871	0	2	2	2
Fri Jul 18 18:01:11 2025	1752850871	1	2	2	2
Fri Jul 18 18:01:12 2025	1752850872	1	2	2	2
Fri Jul 18 18:01:10 2025	1752850870	1	2	2	1
Fri Jul 18 18:01:12 2025	1752850872	0	2	2	2
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	0	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	2
Fri Jul 18 18:01:12 2025	1752850872	1	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	2
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	2
Fri Jul 18 18:01:11 2025	1752850871	0	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:10 2025	1752850870	0	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	2
Fri Jul 18 18:01:12 2025	1752850872	1	2	3	1
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	1	1	3	1
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	2
Fri Jul 18 18:01:12 2025	1752850872	1	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	0	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	1	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	2
Fri Jul 18 18:01:10 2025	1752850870	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	1	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	1	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:10 2025	1752850870	1	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	2
Fri Jul 18 18:01:13 2025	1752850873	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	2
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:10 2025	1752850870	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:10 2025	1752850870	1	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	1	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	1	2	3	2
Fri Jul 18 18:01:10 2025	1752850870	1	2	3	2
Fri Jul 18 18:01:10 2025	1752850870	1	3	3	2
Fri Jul 18 18:01:11 2025	1752850871	1	3	3	2
Fri Jul 18 18:01:12 2025	1752850872	2	2	3	2
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	3	2
Fri Jul 18 18:01:10 2025	1752850870	0	3	3	3
Fri Jul 18 18:01:10 2025	1752850870	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	2	2	3	2
Fri Jul 18 18:01:10 2025	1752850870	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	1
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	1	3	3	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	1	3	3	2
Fri Jul 18 18:01:12 2025	1752850872	1	2	3	2
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	3	3
Fri Jul 18 18:01:11 2025	1752850871	0	3	3	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	4	3
Fri Jul 18 18:01:13 2025	1752850873	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	1	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	2	4	2
Fri Jul 18 18:01:10 2025	1752850870	0	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	1
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	3
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	1	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	2
Fri Jul 18 18:01:12 2025	1752850872	2	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	2
Fri Jul 18 18:01:10 2025	1752850870	0	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	3
Fri Jul 18 18:01:12 2025	1752850872	2	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	2	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	2	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	0	3	4	2
Fri Jul 18 18:01:11 2025	1752850871	2	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	2	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	2	4	2
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	3
Fri Jul 18 18:01:11 2025	1752850871	2	2	4	2
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	2	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	2
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	1	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	2
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	2	2	4	2
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	3
Fri Jul 18 18:01:11 2025	1752850871	2	2	4	2
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	3
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	3
Fri Jul 18 18:01:10 2025	1752850870	1	4	4	3
Fri Jul 18 18:01:10 2025	1752850870	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	1	3	4	2
Fri Jul 18 18:01:12 2025	1752850872	2	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	2	2	4	1
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	2
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	2	2	4	2
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	1	4	4	2
Fri Jul 18 18:01:11 2025	1752850871	2	3	4	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	1	4	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	4	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	3	2	4	1
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	2	2	4	2
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:13 2025	1752850873	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	2	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	1
Fri Jul 18 18:01:10 2025	1752850870	3	2	4	2
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:11 2025	1752850871	1	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:10 2025	1752850870	1	3	4	2
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	1	3	4	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	2	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	4	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	4	4
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:13 2025	1752850873	1	4	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	3
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	2
Fri Jul 18 18:01:11 2025	1752850871	2	3	5	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	4
Fri Jul 18 18:01:11 2025	1752850871	3	1	5	1
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	3
Fri Jul 18 18:01:10 2025	1752850870	1	3	5	3
Fri Jul 18 18:01:11 2025	1752850871	3	1	5	1
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	4
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	4
Fri Jul 18 18:01:10 2025	1752850870	1	3	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	5	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	5	4
Fri Jul 18 18:01:11 2025	1752850871	2	3	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	3
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	4	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:11 2025	1752850871	3	2	5	2
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:11 2025	1752850871	3	2	5	2
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:10 2025	1752850870	1	4	5	3
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	3
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	4
Fri Jul 18 18:01:11 2025	1752850871	0	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:11 2025	1752850871	2	3	5	2
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	3	5	3
Fri Jul 18 18:01:10 2025	1752850870	0	4	5	4
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	3
Fri Jul 18 18:01:11 2025	1752850871	1	3	5	3
Fri Jul 18 18:01:10 2025	1752850870	1	4	5	3
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	4	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	3
Fri Jul 18 18:01:10 2025	1752850870	1	4	5	3
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	4
Fri Jul 18 18:01:11 2025	1752850871	2	3	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	5
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	3
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	2
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	3	2	5	2
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	3
Fri Jul 18 18:01:12 2025	1752850872	1	3	5	3
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:10 2025	1752850870	2	3	5	2
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:10 2025	1752850870	2	3	5	2
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:11 2025	1752850871	3	2	5	2
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	2
Fri Jul 18 18:01:10 2025	1752850870	1	4	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	4
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	5
Fri Jul 18 18:01:10 2025	1752850870	3	2	5	2
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	3
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	2
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	4
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	4
Fri Jul 18 18:01:10 2025	1752850870	1	4	5	3
Fri Jul 18 18:01:10 2025	1752850870	3	2	5	2
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	4
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	5
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	4
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	2	3	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:11 2025	1752850871	2	3	5	3
Fri Jul 18 18:01:10 2025	1752850870	1	4	5	4
Fri Jul 18 18:01:10 2025	1752850870	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	4
Fri Jul 18 18:01:11 2025	1752850871	3	2	5	2
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	5
Fri Jul 18 18:01:11 2025	1752850871	0	5	5	5
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	2
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	3
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:10 2025	1752850870	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	4
Fri Jul 18 18:01:12 2025	1752850872	1	4	5	3
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:11 2025	1752850871	1	4	5	4
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:11 2025	1752850871	3	2	5	2
Fri Jul 18 18:01:12 2025	1752850872	0	5	5	5
Fri Jul 18 18:01:13 2025	1752850873	1	4	5	4
